f1,f2,method,N,seed,selected_count
-836.0,144.6635568080345,NSGA2,100,12,57
-0.0,0.0,NSGA2,100,12,0
-831.0,141.27175659411765,NSGA2,100,12,56
-592.0,81.54658256632732,NSGA2,100,12,42
-648.0,93.14073415552211,NSGA2,100,12,46
-113.0,8.835607554782014,NSGA2,100,12,8
-81.0,5.525051065668193,NSGA2,100,12,6
-835.0,143.5245071033869,NSGA2,100,12,57
-104.0,7.814848186395916,NSGA2,100,12,7
-748.0,114.64058510835353,NSGA2,100,12,51
-200.0,19.191339741443688,NSGA2,100,12,13
-232.0,23.181991593219227,NSGA2,100,12,15
-72.0,4.504291697282095,NSGA2,100,12,5
-193.0,18.235653896018174,NSGA2,100,12,13
-119.0,9.560011630668,NSGA2,100,12,8
-814.0,133.95106840071628,NSGA2,100,12,55
-776.0,121.19640207057255,NSGA2,100,12,53
-655.0,94.33842554119374,NSGA2,100,12,45
-599.0,82.7959797457162,NSGA2,100,12,41
-402.0,48.25437794283241,NSGA2,100,12,27
-176.0,16.86842611840153,NSGA2,100,12,11
-645.0,91.72133757683729,NSGA2,100,12,45
-632.0,89.20897805085569,NSGA2,100,12,44
-822.0,137.92572413082922,NSGA2,100,12,56
-636.0,90.1064949732031,NSGA2,100,12,45
-323.0,35.27249118394268,NSGA2,100,12,21
-801.0,129.17444496130088,NSGA2,100,12,55
-616.0,85.79108199074868,NSGA2,100,12,43
-826.0,139.02304610975062,NSGA2,100,12,56
-282.0,29.72725249883702,NSGA2,100,12,18
-564.0,75.56557987976004,NSGA2,100,12,39
-692.0,101.44744184461622,NSGA2,100,12,48
-237.0,23.73197758815029,NSGA2,100,12,16
-537.0,70.75742356728634,NSGA2,100,12,37
-551.0,73.12455764600232,NSGA2,100,12,38
-816.0,135.1008406212443,NSGA2,100,12,55
-98.0,7.201811707974113,NSGA2,100,12,7
-642.0,90.80740838387959,NSGA2,100,12,45
-728.0,109.54690972560307,NSGA2,100,12,50
-568.0,76.47330597770775,NSGA2,100,12,39
-385.0,44.93559324965782,NSGA2,100,12,26
-444.0,54.2811681952114,NSGA2,100,12,30
-752.0,115.48745841536096,NSGA2,100,12,52
-611.0,84.83372618353151,NSGA2,100,12,43
-295.0,31.575919413313226,NSGA2,100,12,19
-546.0,72.32972734936953,NSGA2,100,12,38
-572.0,77.34605374250046,NSGA2,100,12,40
-559.0,74.79801109723357,NSGA2,100,12,38
-542.0,71.5522538639191,NSGA2,100,12,37
-688.0,100.63441684374057,NSGA2,100,12,48
-12.0,0.0641852658348121,NSGA2,100,12,1
-51.0,2.958697472378371,NSGA2,100,12,4
-14.0,0.7064256681883192,NSGA2,100,12,1
-628.0,88.13565815561445,NSGA2,100,12,44
-828.0,140.17981050538808,NSGA2,100,12,56
-243.0,24.50000916348309,NSGA2,100,12,16
-164.0,14.876638573473063,NSGA2,100,12,11
-87.0,6.249455141554179,NSGA2,100,12,6
-276.0,29.002848422951036,NSGA2,100,12,18
-35.0,1.7913703024092285,NSGA2,100,12,3
-256.0,26.11131930170446,NSGA2,100,12,17
-555.0,73.99327609767683,NSGA2,100,12,38
-619.0,86.76473394762341,NSGA2,100,12,44
-696.0,102.48167646563233,NSGA2,100,12,49
-507.0,65.326382447714,NSGA2,100,12,34
-224.0,22.12066744992892,NSGA2,100,12,15
-511.0,66.30578947113834,NSGA2,100,12,35
-587.0,80.47776235548993,NSGA2,100,12,41
-300.0,32.32031564930634,NSGA2,100,12,20
-376.0,43.52721773530764,NSGA2,100,12,25
-26.0,0.7706109340231313,NSGA2,100,12,2
-787.0,124.6330313218313,NSGA2,100,12,54
-359.0,40.852324848769435,NSGA2,100,12,24
-514.0,67.15677038909807,NSGA2,100,12,35
-380.0,44.24105192699147,NSGA2,100,12,25
-791.0,125.64495368438591,NSGA2,100,12,54
-409.0,48.727179381227636,NSGA2,100,12,27
-703.0,103.76982413109535,NSGA2,100,12,49
-126.0,10.249558833812367,NSGA2,100,12,9
-310.0,33.42382426946647,NSGA2,100,12,20
-624.0,87.46453544197992,NSGA2,100,12,43
-214.0,20.987110192504595,NSGA2,100,12,14
-770.0,120.27306455670818,NSGA2,100,12,52
-520.0,67.72055502300488,NSGA2,100,12,35
-684.0,99.70275375867446,NSGA2,100,12,48
-159.0,14.114542045340444,NSGA2,100,12,11
-135.0,11.348619232682264,NSGA2,100,12,9
-738.0,112.02375358691161,NSGA2,100,12,51
-371.0,42.78108627144361,NSGA2,100,12,25
-731.0,110.49695714138049,NSGA2,100,12,50
-336.0,37.22709745745984,NSGA2,100,12,22
-666.0,95.89851241815187,NSGA2,100,12,47
-488.0,61.895526611553436,NSGA2,100,12,33
-91.0,6.8836334108362625,NSGA2,100,12,6
-435.0,52.999285914474484,NSGA2,100,12,29
-439.0,53.586626872545054,NSGA2,100,12,29
-607.0,84.21877820866546,NSGA2,100,12,42
-302.0,33.39729950413604,NSGA2,100,12,20
-261.0,26.790354165340442,NSGA2,100,12,17
-743.0,112.9568178758754,NSGA2,100,12,51
-677.0,98.21151192190204,NSGA2,100,12,48
-169.0,15.473124390508515,NSGA2,100,12,11
-184.0,17.624640184763635,NSGA2,100,12,13
-811.0,132.30873233528462,NSGA2,100,12,55
-763.0,117.93355562240932,NSGA2,100,12,52
-778.0,122.5073738486942,NSGA2,100,12,53
-420.0,50.62259576244689,NSGA2,100,12,28
-390.0,45.664538715528415,NSGA2,100,12,26
-362.0,41.76032690305751,NSGA2,100,12,24
-707.0,104.84314402633659,NSGA2,100,12,49
-206.0,19.925786049214288,NSGA2,100,12,14
-735.0,111.19887616052165,NSGA2,100,12,51
-327.0,36.14936328940483,NSGA2,100,12,22
-681.0,98.95623718160029,NSGA2,100,12,48
-798.0,128.16562020950747,NSGA2,100,12,54
-265.0,27.380904935175714,NSGA2,100,12,17
-724.0,108.5375641166306,NSGA2,100,12,50
-129.0,10.761838004745112,NSGA2,100,12,9
-58.0,3.15953046687521,NSGA2,100,12,4
-150.0,13.093782676954348,NSGA2,100,12,10
-430.0,52.30111672287296,NSGA2,100,12,29
-483.0,61.33386756716748,NSGA2,100,12,32
-330.0,36.78380193225821,NSGA2,100,12,22
-524.0,68.3164013335286,NSGA2,100,12,36
-398.0,47.21955154495068,NSGA2,100,12,26
-172.0,16.29713909024506,NSGA2,100,12,12
-805.0,130.27176694022228,NSGA2,100,12,55
-291.0,30.74801186722312,NSGA2,100,12,19
-766.0,118.94646576897814,NSGA2,100,12,52
-577.0,78.04560975979096,NSGA2,100,12,40
-366.0,42.39171141052452,NSGA2,100,12,24
-287.0,30.35627057707897,NSGA2,100,12,19
-60.0,4.057757871248267,NSGA2,100,12,4
-44.0,2.453104798686891,NSGA2,100,12,3
-28.0,1.2857776287177485,NSGA2,100,12,2
-154.0,13.72796094623643,NSGA2,100,12,10
-317.0,34.55128505521648,NSGA2,100,12,21
-250.0,25.63574149090363,NSGA2,100,12,16
-785.0,123.6829727069805,NSGA2,100,12,53
-794.0,126.36742316837989,NSGA2,100,12,54
-354.0,40.15415565716791,NSGA2,100,12,24
-416.0,49.926995338031226,NSGA2,100,12,28
-474.0,59.461813462144185,NSGA2,100,12,32
-67.0,4.180289835261307,NSGA2,100,12,5
-462.0,57.48389165544006,NSGA2,100,12,31
-700.0,103.12064981878147,NSGA2,100,12,49
-667.0,96.82465851623466,NSGA2,100,12,46
-795.0,127.51874106757019,NSGA2,100,12,54
-495.0,63.12974671156127,NSGA2,100,12,33
-807.0,130.74187845418828,NSGA2,100,12,55
-209.0,20.37550400565684,NSGA2,100,12,14
-492.0,62.63329920809992,NSGA2,100,12,34
-470.0,58.85192531620588,NSGA2,100,12,32
-413.0,49.289766106837995,NSGA2,100,12,28
-782.0,122.92026076371273,NSGA2,100,12,53
-247.0,25.090559933318364,NSGA2,100,12,16
-314.0,34.25173181555658,NSGA2,100,12,20
-145.0,12.628900547366534,NSGA2,100,12,10
-424.0,51.302819945839076,NSGA2,100,12,28
-819.0,136.30016014939537,NSGA2,100,12,55
-757.0,116.21288889043676,NSGA2,100,12,52
-527.0,69.14338599236997,NSGA2,100,12,36
-219.0,21.570681454997857,NSGA2,100,12,14
-661.0,95.0052632115401,NSGA2,100,12,47
-808.0,132.2113470627427,NSGA2,100,12,55
-502.0,64.8121942242323,NSGA2,100,12,34
