f1,f2,method,N,seed,selected_count
-6137.0,1379.915,RANDOM,1000,11,479
-5891.0,1328.2635,RANDOM,1000,11,456
-6228.0,1383.252,RANDOM,1000,11,481
-5855.0,1324.0125,RANDOM,1000,11,459
-6232.0,1389.0195,RANDOM,1000,11,482
-6553.0,1472.888,RANDOM,1000,11,505
-6657.0,1542.6982,RANDOM,1000,11,512
-5931.0,1338.1316,RANDOM,1000,11,469
-6596.0,1489.0132,RANDOM,1000,11,508
-6655.0,1532.003,RANDOM,1000,11,519
-6279.0,1397.0527,RANDOM,1000,11,487
-5573.0,1292.2294,RANDOM,1000,11,441
-6144.0,1381.9401,RANDOM,1000,11,477
-6508.0,1459.0448,RANDOM,1000,11,502
-6603.0,1493.1837,RANDOM,1000,11,508
-5937.0,1339.656,RANDOM,1000,11,460
-6621.0,1510.1511,RANDOM,1000,11,506
-5693.0,1296.0039,RANDOM,1000,11,447
-5409.0,1249.2532,RANDOM,1000,11,426
-5582.0,1292.5901,RANDOM,1000,11,437
-5562.0,1292.0677,RANDOM,1000,11,441
-5555.0,1280.9595,RANDOM,1000,11,430
-5619.0,1295.4188,RANDOM,1000,11,444
-6094.0,1370.6353,RANDOM,1000,11,474
-6041.0,1359.6584,RANDOM,1000,11,469
-5435.0,1277.0178,RANDOM,1000,11,429
-5866.0,1327.3363,RANDOM,1000,11,461
-6399.0,1429.9633,RANDOM,1000,11,493
-6541.0,1462.3391,RANDOM,1000,11,507
-5821.0,1322.318,RANDOM,1000,11,464
-6505.0,1455.2184,RANDOM,1000,11,503
-5907.0,1337.6932,RANDOM,1000,11,460
-6003.0,1357.4747,RANDOM,1000,11,464
-6567.0,1486.2759,RANDOM,1000,11,510
-6616.0,1509.8766,RANDOM,1000,11,513
-5905.0,1335.0182,RANDOM,1000,11,468
-6564.0,1483.4697,RANDOM,1000,11,507
-6133.0,1376.2828,RANDOM,1000,11,481
-6502.0,1446.5642,RANDOM,1000,11,496
-6654.0,1511.2855,RANDOM,1000,11,510
-6124.0,1375.3699,RANDOM,1000,11,473
-5968.0,1343.3734,RANDOM,1000,11,462
-5725.0,1307.0007,RANDOM,1000,11,452
-6385.0,1417.612,RANDOM,1000,11,492
-6315.0,1412.8844,RANDOM,1000,11,493
-5999.0,1352.4843,RANDOM,1000,11,468
-6589.0,1487.6759,RANDOM,1000,11,509
-5969.0,1347.981,RANDOM,1000,11,466
-5720.0,1303.1892,RANDOM,1000,11,442
-6248.0,1394.3342,RANDOM,1000,11,486
-5592.0,1292.6256,RANDOM,1000,11,444
-6615.0,1494.072,RANDOM,1000,11,510
-6160.0,1383.1488,RANDOM,1000,11,477
-5994.0,1349.5347,RANDOM,1000,11,471
-5897.0,1334.3365,RANDOM,1000,11,455
-5807.0,1317.0573,RANDOM,1000,11,450
-5799.0,1310.1924,RANDOM,1000,11,449
-6456.0,1433.2437,RANDOM,1000,11,496
-6304.0,1406.3068,RANDOM,1000,11,495
-6086.0,1364.6919,RANDOM,1000,11,472
-6050.0,1361.1947,RANDOM,1000,11,468
-6103.0,1373.1582,RANDOM,1000,11,478
-6680.0,1567.9237,RANDOM,1000,11,514
-5484.0,1279.7134,RANDOM,1000,11,436
