N,method,seed,HV,IGD,ND_size
10,NSGA2,0,626.3266115188599,0.0,14
10,NSGA2,1,626.3266115188599,0.0,14
10,NSGA2,2,626.3266115188599,0.0,14
10,NSGA2,3,626.3266115188599,0.0,14
10,NSGA2,4,626.3266115188599,0.0,14
10,NSGA2,5,626.3266115188599,0.0,14
10,NSGA2,6,626.3266115188599,0.0,14
10,NSGA2,7,626.3266115188599,0.0,14
10,NSGA2,8,626.3266115188599,0.0,14
10,NSGA2,9,626.3266115188599,0.0,14
10,NSGA2,10,626.3266115188599,0.0,14
10,NSGA2,11,626.3266115188599,0.0,14
10,NSGA2,12,626.3266115188599,0.0,14
10,NSGA2,13,626.3266115188599,0.0,14
10,NSGA2,14,626.3266115188599,0.0,14
10,NSGA2,15,626.3266115188599,0.0,14
10,NSGA2,16,626.3266115188599,0.0,14
10,NSGA2,17,626.3266115188599,0.0,14
10,NSGA2,18,626.3266115188599,0.0,14
10,NSGA2,19,626.3266115188599,0.0,14
10,NSGA2,20,626.3266115188599,0.0,14
10,NSGA2,21,626.3266115188599,0.0,14
10,NSGA2,22,626.3266115188599,0.0,14
10,NSGA2,23,626.3266115188599,0.0,14
10,NSGA2,24,626.3266115188599,0.0,14
10,NSGA2,25,626.3266115188599,0.0,14
10,NSGA2,26,626.3266115188599,0.0,14
10,NSGA2,27,626.3266115188599,0.0,14
10,NSGA2,28,626.3266115188599,0.0,14
10,NSGA2,29,626.3266115188599,0.0,14
10,RANDOM,0,626.3266115188599,0.0,14
10,RANDOM,1,626.3266115188599,0.0,14
10,RANDOM,2,626.3266115188599,0.0,14
10,RANDOM,3,626.3266115188599,0.0,14
10,RANDOM,4,626.3266115188599,0.0,14
10,RANDOM,5,626.3266115188599,0.0,14
10,RANDOM,6,626.3266115188599,0.0,14
10,RANDOM,7,626.3266115188599,0.0,14
10,RANDOM,8,626.3266115188599,0.0,14
10,RANDOM,9,626.3266115188599,0.0,14
10,RANDOM,10,626.3266115188599,0.0,14
10,RANDOM,11,626.3266115188599,0.0,14
