Algorithm,Sample,Result,Time
DYNAMIC PROGRAMMING,10,40.626602482269064,0.00019621849060058594
BASE,10,40.626602482269064,0.027951478958129883
GENETICALGORITHM,10,39.31060149172286,0.3878316879272461
MEMETICALGORITHM,10,40.626602482269064,0.9839916229248047
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,17.134944200515747
EVOLUTIONSTRATEGY,10,39.331160407977684,0.09023356437683105
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.36711573600769043
DYNAMIC PROGRAMMING,100,557.8053748551275,0.025200605392456055
BASE,100,486.6903378354644,0.09629273414611816
GENETICALGORITHM,100,548.4098891499317,1.3248965740203857
MEMETICALGORITHM,100,554.6671734978432,18.478288650512695
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,516.3549398861545,35.405741691589355
EVOLUTIONSTRATEGY,100,477.0725601302835,0.2083594799041748
DIFFERENTIALEVOLUTION,100,515.0930422059919,0.907850980758667
DYNAMIC PROGRAMMING,1000,3916.6765132400005,3.5420074462890625
BASE,1000,2987.979153654453,0.7104394435882568
GENETICALGORITHM,1000,3427.801595804101,9.610473394393921
MEMETICALGORITHM,1000,3195.4313680296045,350.00012826919556
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3387.323248563273,350.0001075267792
EVOLUTIONSTRATEGY,1000,2932.08762854062,1.5060253143310547
DIFFERENTIALEVOLUTION,1000,3094.0911659972185,7.073976993560791
DYNAMIC PROGRAMMING,10000,40342.943604199936,416.4995059967041
BASE,10000,29391.147008997294,7.205555438995361
GENETICALGORITHM,10000,31469.491387141214,99.39962458610535
MEMETICALGORITHM,10000,28847.930182600518,500.0002145767212
MEMETICALGORITHMHYBRIDLOCALSEARCH,10000,28587.59678707562,500.000226020813
EVOLUTIONSTRATEGY,10000,28747.91137135176,14.040877342224121
DIFFERENTIALEVOLUTION,10000,30195.436622859674,69.40962815284729
